Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,4,40.0,-0.10000000000000009
Query 2,3,30.0,-9.0
Query 3,2,20.0,-79.0
Query 4,7,70.0,0.1071428571428571
Query 5,1,10.0,0
Query 6,4,40.0,-4.8
Query 7,1,10.0,0
Query 8,2,20.0,1.0
Query 9,2,20.0,-15.0
Query 10,5,50.0,-1.4500000000000002
Query 11,1,10.0,0
Query 12,4,40.0,-1.1
Query 13,4,40.0,-12.1
Query 14,2,20.0,-89.0
Query 15,4,40.0,-1.9
Query 16,2,20.0,0.0
Query 17,3,30.0,-7.25
Query 18,3,30.0,-7.75
Query 19,2,20.0,-7.0
Query 20,3,30.0,-14.25
Query 21,4,40.0,-1.9
Query 22,3,30.0,-18.0
Query 23,7,70.0,-0.4464285714285714
Query 24,4,40.0,-2.4
Query 25,1,10.0,0
Query 26,1,10.0,0
Query 27,4,40.0,-2.7
Query 28,0,0.0,0
Query 29,0,0.0,0
Query 30,5,50.0,-2.45
Query 31,3,30.0,-10.5
Query 32,3,30.0,-5.5
Query 33,1,10.0,0
Query 34,5,50.0,0.19999999999999996
Query 35,4,40.0,-2.4
Query 36,4,40.0,-1.2000000000000002
Query 37,4,40.0,-8.1
Query 38,6,60.0,0.0
Query 39,4,40.0,-1.0
Query 40,4,40.0,-2.3
Query 41,2,20.0,-12.0
Query 42,1,10.0,0
Query 43,0,0.0,0
Query 44,5,50.0,-2.15
Query 45,2,20.0,-52.0
Query 46,6,60.0,-0.05714285714285716
Query 47,4,40.0,-1.7000000000000002
Query 48,0,0.0,0
Query 49,4,40.0,0.09999999999999998
Query 50,4,40.0,-4.1
Query 51,4,40.0,-2.5
Query 52,3,30.0,-17.5
Query 53,2,20.0,-7.0
Query 54,5,50.0,-0.3999999999999999
Query 55,5,50.0,-2.8
Query 56,1,10.0,0
Query 57,2,20.0,-39.0
Query 58,3,30.0,-1.5
Query 59,5,50.0,-1.15
Query 60,2,20.0,-52.0
Query 61,3,30.0,-4.25
Query 62,3,30.0,-11.5
Query 63,1,10.0,0
Query 64,0,0.0,0
Query 65,1,10.0,0
Query 66,3,30.0,-7.25
Query 67,0,0.0,0
Query 68,6,60.0,-1.8571428571428572
Query 69,3,30.0,-9.25
Query 70,3,30.0,-6.5
Query 71,8,80.0,0.45238095238095233
Query 72,2,20.0,-96.0
Query 73,2,20.0,-73.0
Query 74,4,40.0,-2.0
Query 75,2,20.0,-3.0
Query 76,5,50.0,-2.95
Query 77,3,30.0,-9.25
Query 78,4,40.0,-0.5
Query 79,4,40.0,-6.5
Query 80,5,50.0,-6.9
Query 81,0,0.0,0
Query 82,2,20.0,-49.0
Query 83,4,40.0,-6.6
Query 84,1,10.0,0
Query 85,2,20.0,-19.0
Query 86,2,20.0,-4.0
Query 87,1,10.0,0
Query 88,3,30.0,-3.0
Query 89,4,40.0,-0.7
Query 90,4,40.0,-1.9
Query 91,0,0.0,0
Query 92,3,30.0,-11.5
Query 93,2,20.0,-1.0
Query 94,5,50.0,-1.9500000000000002
Query 95,1,10.0,0
Query 96,1,10.0,0
Query 97,2,20.0,-67.0
Query 98,3,30.0,-17.75
Query 99,5,50.0,-0.3500000000000001
Query 100,5,50.0,-1.0
Averages,2.98,29.8,-9.280511904761905
